date,Close,Open,High,Low,Change,Change value,press_c,0_percent_c,1_percent_c,2_percent_c,뉴스개수_c,press_f,0_percent_f,1_percent_f,2_percent_f,뉴스개수_f,부정_c,긍정_c,중립_c,부정_f,긍정_f,중립_f
20210913,1172.83,1170.38,1177.53,1170.02,0.0022,2.599999999999909,일반언론,0.2797270955165692,0.09649122807017543,0.6237816764132553,1026.0,네이버금융,0.7777777777777778,0.05555555555555555,0.16666666666666666,18.0,287.0,99.0,640.0,14.0,1.0,3.0
20210914,1172.23,1173.44,1175.2,1166.38,-0.0005,-0.599999999999909,일반언론,0.28469241773962806,0.10157367668097282,0.6137339055793991,699.0,네이버금융,0.35714285714285715,0.2857142857142857,0.35714285714285715,14.0,199.0,71.0,429.0,5.0,4.0,5.0
20210915,1166.23,1172.41,1174.7,1164.77,-0.0051,-6.0,일반언론,0.270392749244713,0.10574018126888217,0.6238670694864048,662.0,네이버금융,0.5294117647058824,0.47058823529411764,0.0,17.0,179.0,70.0,413.0,9.0,8.0,0.0
20210916,1175.19,1166.39,1176.94,1165.2,0.0077,8.960000000000036,일반언론,0.258493353028065,0.1344165435745938,0.6070901033973413,677.0,네이버금융,0.8666666666666667,0.13333333333333333,0.0,15.0,175.0,91.0,411.0,13.0,2.0,0.0
20210917,1180.69,1175.36,1182.81,1174.23,0.0046999999999999,5.5,일반언론,0.24714285714285714,0.11428571428571428,0.6385714285714286,700.0,네이버금융,0.5882352941176471,0.35294117647058826,0.058823529411764705,17.0,173.0,80.0,447.0,10.0,6.0,1.0
20210920,1185.67,1181.56,1192.41,1181.47,0.0042,4.980000000000018,,,,,,,,,,,,,,,,
20210921,1183.96,1187.39,1188.61,1182.66,-0.0014,-1.7100000000000364,일반언론,0.31221719457013575,0.09728506787330317,0.5904977375565611,442.0,네이버금융,1.0,0.0,0.0,7.0,138.0,43.0,261.0,7.0,0.0,0.0
20210922,1181.75,1184.41,1185.53,1178.25,-0.0019,-2.2100000000000364,일반언론,0.38461538461538464,0.07692307692307693,0.5384615384615384,13.0,네이버금융,0.2,0.4,0.4,5.0,5.0,1.0,7.0,1.0,2.0,2.0
20210923,1174.63,1181.99,1186.62,1170.36,-0.006,-7.119999999999891,일반언론,0.3017656500802568,0.1332263242375602,0.565008025682183,623.0,네이버금융,0.5294117647058824,0.4117647058823529,0.058823529411764705,17.0,188.0,83.0,352.0,9.0,7.0,1.0
20210924,1179.68,1174.83,1182.05,1171.81,0.0043,5.0499999999999545,일반언론,0.33779761904761907,0.09077380952380952,0.5714285714285714,672.0,네이버금융,0.42857142857142855,0.42857142857142855,0.14285714285714285,14.0,227.0,61.0,384.0,6.0,6.0,2.0
